Date,Option Premium Amount,Notional Amount 1,USD_notional,Option Premium Currency,Spot_USDAUD,Strike_USDAUD,Expiration Date,Type,Option Style,Adj_Prem,Maturity,IV,Delta,Gamma,Rho,Theta,Vega,NAB,long,CP Region,CP Type
2021-02-24,85.99844,50955.0,40000.0,USD,0.790883,0.785,2021-03-03,p,EU,0.002149961,0.019178082191780823,0.10310387140044747,-0.29836393935291783,30.71339817867259,-4.5667027373445926e-05,-0.00028021268747676454,0.00037986781559643966,1,1,Australia,Investment Firms
2021-02-24,53.5049,64086.0,50000.0,USD,0.790883,0.7802,2021-03-03,p,EU,0.001070098,0.019178082191780823,0.10476461303135419,-0.17266038025771624,22.273788859410864,-2.639369322289162e-05,-0.00020973543842989963,0.0002799228609845306,0,1,EEA,Credit Institutions
2021-02-24,77.98346249999999,38750.0,31000.0,AUD,0.790883,0.8,2021-03-03,c,EU,0.0025155955645161285,0.019178082191780823,0.13672931692912865,0.27540045552323206,22.297403600613947,4.128924932349176e-05,-0.0003567605866734419,0.00036571737653932424,0,1,Australia,Investment Firms
2021-02-24,263.9984,307692.0,240000.0,USD,0.790883,0.78,2021-03-03,p,EU,0.0010999933333333334,0.019178082191780823,0.10709271174852063,-0.17340499832894696,21.849393809884287,-2.6512367407865246e-05,-0.0002149793619711037,0.0002806913082205966,0,1,US,Credit Institutions
2021-02-24,50700.0,12961763.0,10000000.0,USD,0.790883,0.7715,2021-04-07,p,EU,0.00507,0.11506849315068493,0.11740690079254447,-0.26078476493619585,10.313934851652474,-0.0002431630127226138,-0.00012222377317329386,0.0008715632603961314,0,-1,EEA,Credit Institutions
2021-02-24,6618.1074,2557545.0,2000000.0,USD,0.790883,0.782,2021-03-10,p,EU,0.0033090537,0.038356164383561646,0.11143394718625706,-0.2990120086093787,20.11401340615791,-9.197523160192213e-05,-0.00021447052546504617,0.000537744406610775,0,-1,US,Investment Firms
2021-02-24,166.0,257069.0,200000.0,USD,0.790883,0.778,2021-03-03,p,EU,0.00083,0.019178082191780823,0.10885925577805634,-0.13652308810448965,18.35074404576112,-2.0866480176038406e-05,-0.00018654005339948857,0.000239634142427606,0,-1,Australia,Credit Institutions
2021-02-24,16656.54899,2614379.0,2000000.0,USD,0.790883,0.765,2021-05-26,p,EU,0.008328274495,0.2493150684931507,0.11881326323821301,-0.2784007323629253,7.154571718005338,-0.0005697115606209113,-8.697788488452835e-05,0.001325627712027323,0,-1,Australia,Credit Institutions
2021-02-24,33360.60641,5228758.0,4000000.0,USD,0.790883,0.765,2021-05-26,p,EU,0.0083401516025,0.2493150684931507,0.11890284886292002,-0.2785343527170199,7.15085279231787,-0.0005700046433835051,-8.70636110177721e-05,0.0013259376630526982,0,-1,Australia,Credit Institutions
2021-02-24,7059.6195,2570694.0,2000000.0,USD,0.790883,0.778,2021-03-17,p,EU,0.00352980975,0.057534246575342465,0.11251327924126021,-0.2674459962393798,15.417349971945566,-0.00012372642009505691,-0.00016764424165176863,0.0006242584429078902,0,1,Australia,Credit Institutions
2021-02-24,1999.49876,394302.0,310000.0,USD,0.790883,0.7862,2021-03-17,p,EU,0.0064499959999999995,0.057534246575342465,0.1136519554234724,-0.40904406114101377,18.020637059561356,-0.00018983769299603167,-0.00020007890930114598,0.0007370517192085769,0,1,US,Investment Firms
2021-02-24,812.0,256410.0,200000.0,USD,0.790883,0.78,2021-03-17,p,EU,0.00406,0.057534246575342465,0.11167734594490465,-0.2983487706534509,16.370693624352192,-0.0001380931064765747,-0.00017540423701059435,0.0006579351306542651,0,-1,Australia,Credit Institutions
2021-02-24,6976.76471,2557545.0,2000000.0,USD,0.790883,0.782,2021-03-10,p,EU,0.0034883823550000003,0.038356164383561646,0.11475593222368112,-0.3041076768934101,19.68079906419233,-9.358979831542116e-05,-0.0002225403759494041,0.0005418480626081305,0,1,Others,Investment Firms
2021-02-24,1526.7955,281330.0,220000.0,USD,0.790883,0.782,2021-03-29,p,EU,0.006939979545454545,0.09041095890410959,0.11433783160696945,-0.36546231360187253,13.82982103832494,-0.000267596467039914,-0.00015548427438772156,0.0008942358325764156,1,1,EEA,Credit Institutions
2021-02-24,926875.0,50000000.0,40000000.0,AUD,0.790883,0.8,2021-05-14,c,EU,0.023171875,0.21643835616438356,0.18662171489587007,0.4640054055607482,5.7862343816891215,0.0007441196400307397,-0.00017201268326799644,0.0014618974389540077,0,-1,US,Investment Firms
2021-02-24,235941.35513253012,50602410.0,42000000.0,AUD,0.790883,0.83,2021-05-14,c,EU,0.005617651312679288,0.21643835616438356,0.12756459369450462,0.21583719306581356,6.239292032088476,0.00035730577864691646,-8.667898927852517e-05,0.0010775171007039142,1,1,Australia,Credit Institutions
2021-02-24,66373.35012,80452546.0,64000000.0,USD,0.790883,0.7955,2021-02-25,c,EU,0.0010370835956250001,0.0027397260273972603,0.16612219632878406,0.2529300276300169,46.494612977261,5.4520815190818e-06,-0.001099028110428035,0.0001323615724365276,0,1,EEA,Credit Institutions
2021-02-24,82089.29571,8827238.0,7000000.0,USD,0.790883,0.7929999999999999,2021-03-29,c,EU,0.011727042244285715,0.09041095890410959,0.13454917775047706,0.4810929062769992,12.454266057806192,0.0003334004996924918,-0.00019248154739967644,0.0009476429667954908,0,1,EEA,Investment Firms
2021-02-24,82089.28551,8827238.0,7000000.0,USD,0.790883,0.7929999999999999,2021-03-29,p,EU,0.011727040787142857,0.09041095890410959,0.11166993997226284,-0.5257970032788126,14.99138524130707,-0.00038657099781733975,-0.0001610028248918915,0.0009467244726554302,0,1,Australia,Non-financial firms
2021-02-24,43997.48588,50282841.0,40000000.0,USD,0.790883,0.7955,2021-02-25,c,EU,0.001099937147,0.0027397260273972603,0.1708414734768884,0.258920775878046,45.76591299173216,5.580167201144018e-06,-0.0011441477891468781,0.00013398835511750512,1,-1,Australia,Credit Institutions
2021-02-24,894033.55794,12430081.0,10000000.0,USD,0.790883,0.8045,2025-02-26,p,EU,0.089403355794,4.008219178082192,0.12764690328253822,-0.4800612731960342,1.97137365036754,-0.018801580392408056,-2.8422303392375553e-05,0.006308922222178988,0,-1,Australia,Non-financial firms
2021-02-24,692666.24979,12430081.0,10000000.0,USD,0.790883,0.8045,2025-02-26,c,EU,0.069266624979,4.008219178082192,0.12089734192654696,0.5155153570812817,2.0824603204125554,0.013565645742404904,-2.543118269028714e-05,0.006312035462457122,0,-1,Australia,Non-financial firms
2021-02-24,128300.62645768025,30094044.0,24000000.0,AUD,0.790883,0.7975,2021-03-03,c,EU,0.005345859435736677,0.019178082191780823,0.18778074053432067,0.37907611923441,18.499373509876413,5.647158884408543e-05,-0.0005583695520398302,0.0004167136485206056,0,-1,Others,Investment Firms
2021-02-24,1339.4544968944099,496894.0,400000.0,AUD,0.790883,0.805,2021-03-10,c,EU,0.0033486362422360245,0.038356164383561646,0.1385806135940884,0.26131669323618745,15.150644121334677,7.798663333596476e-05,-0.0002489189066924237,0.0005037246794491521,0,-1,US,Investment Firms
2021-02-24,9513.019602977669,2481390.0,2000000.0,AUD,0.790883,0.8059999999999999,2021-03-17,c,EU,0.004756509801488834,0.057534246575342465,0.139566516617131,0.29114573046461845,12.952589725574812,0.00012974300487278792,-0.00021575010991501897,0.000650562101655155,0,-1,Australia,Non-financial firms
2021-02-24,12195.923717948717,2564103.0,2000000.0,AUD,0.790883,0.78,2021-03-17,p,EU,0.0060979618589743585,0.057534246575342465,0.1417874600615909,-0.33606043344460645,13.561225056695948,-0.0001564255166712834,-0.0002341232210375689,0.0006919706232823414,0,1,EEA,Credit Institutions
2021-02-24,3332.21801,1001267.0,790000.0,USD,0.790883,0.789,2021-03-03,p,EU,0.004217997481012658,0.019178082191780823,0.11685027579982595,-0.4385808084155025,30.80190301631898,-6.733119783237353e-05,-0.00036103503398323344,0.0004317545742648774,0,1,Australia,Non-financial firms
2021-02-24,11999.10969,5117053.0,4000000.0,USD,0.790883,0.7817,2021-03-10,p,EU,0.0029997774224999997,0.038356164383561646,0.10731525715385626,-0.2860661538019629,20.460726907091168,-8.79294491714523e-05,-0.00020234397167286474,0.0005267956517917232,0,1,US,Credit Institutions
2021-02-24,51394.58145,5045409.0,4000000.0,USD,0.790883,0.7928,2021-04-08,c,EU,0.0128486453625,0.1178082191780822,0.12743864080822523,0.485895565931701,11.524905246094082,0.00043758437240699297,-0.00015966434341913773,0.0010822773421554435,0,1,Australia,Non-financial firms
2021-02-24,68259.75504,15141956.0,12000000.0,USD,0.790883,0.7925,2021-03-03,p,EU,0.005688312920000001,0.019178082191780823,0.11044922110727609,-0.5504360132509938,32.71472479434352,-8.457894763605206e-05,-0.0003428017728681839,0.0004334465847283505,0,1,Others,Investment Firms
